Instrument;last Time;Kaufpreis;last Price;TakeProfit;StopLoss;macd;macdTrigger;parabolicSAR;ema
EUR_SEK;2022-06-02T12:10;1999,826300;10,474000;10,476000;10,470000;-0,000296;-0,000242;10,476133;10,475374
USD_CHF;2022-06-02T11:54;1999,826300;0,960000;0,960000;0,960000;0,000181;0,000194;0,960460;0,960010
EUR_DKK;2022-06-02T17:57;1999,826300;7,438000;7,438000;7,438000;-0,000027;-0,000018;7,438226;7,438613
USD_ZAR;2022-06-02T12:50;1999,826300;15,522000;15,532000;15,501000;-0,002622;-0,002298;15,532990;15,533199
USD_THB;2022-06-02T17:57;1999,826300;34,200000;34,231000;34,137000;-0,003243;-0,002838;34,231661;34,271721
EUR_SEK;2022-06-02T12:10;1999,826300;10,474000;10,476000;10,470000;-0,000296;-0,000242;10,476133;10,475374
USD_CHF;2022-06-02T11:54;1999,826300;0,960000;0,960000;0,960000;0,000181;0,000194;0,960460;0,960010
EUR_DKK;2022-06-02T18:00;1999,826300;7,438000;7,438000;7,438000;-0,000023;-0,000015;7,438170;7,438605
USD_ZAR;2022-06-02T12:50;1999,826300;15,522000;15,532000;15,501000;-0,002622;-0,002298;15,532990;15,533199
NZD_CHF;2022-06-02T10:50;1999,826300;0,624000;0,625000;0,622000;0,000036;0,000100;0,625076;0,624136
TRY_JPY;2022-06-02T18:02;1999,826300;7,800000;7,872000;7,655000;-0,005712;-0,000298;7,872587;7,876613
EUR_SEK;2022-06-02T12:10;1999,826300;10,474000;10,476000;10,479000;-0,000296;-0,000242;10,476133;10,475374
EUR_SEK;2022-06-02T12:10;1999,826300;10,474000;10,476000;10,479000;-0,000296;-0,000242;10,476133;10,475374
USD_CHF;2022-06-02T11:54;1999,826300;0,960000;0,960000;0,961000;0,000181;0,000194;0,960460;0,960010
EUR_DKK;2022-06-02T18:05;1999,826300;7,438000;7,438000;7,439000;-0,000022;-0,000014;7,438172;7,438601
USD_ZAR;2022-06-02T12:50;1999,826300;15,522000;15,532000;15,544000;-0,002622;-0,002298;15,532990;15,533199
NZD_CHF;2022-06-02T10:50;1999,826300;0,624000;0,625000;0,627000;0,000036;0,000100;0,625076;0,624136
EUR_SEK;2022-06-02T12:10;1999,826300;10,474000;10,476000;10,479000;-0,000296;-0,000242;10,476133;10,475374
EUR_HUF;2022-06-02T18:40;1999,826300;394,200000;394,274000;394,349000;-0,010556;-0,007350;394,274258;394,357677
USD_CHF;2022-06-02T11:54;1999,826300;0,960000;0,960000;0,961000;0,000181;0,000194;0,960460;0,960010
EUR_DKK;2022-06-02T18:40;1999,826300;7,438000;7,438000;7,439000;-0,000017;-0,000005;7,438203;7,438574
USD_ZAR;2022-06-02T12:50;1999,826300;15,522000;15,532000;15,544000;-0,002622;-0,002298;15,532990;15,533199
USD_INR;2022-06-02T18:32;1999,826300;77,300000;77,324000;77,350000;-0,006821;-0,006239;77,324997;77,391871
NZD_CHF;2022-06-02T10:50;1999,826300;0,624000;0,625000;0,627000;0,000036;0,000100;0,625076;0,624136
TRY_JPY;2022-06-02T18:36;1999,826300;7,800000;7,876000;7,954000;-0,006541;-0,001438;7,876568;7,876620
